Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
376,1,0.1231,0.0061,1.2956,0.6345,0.1103,6.2414
377,1,0.1081,0.0050,1.2579,0.5859,0.1919,6.5556
378,1,0.1201,0.0069,1.2555,0.8173,0.2404,6.7308
379,1,0.1145,0.0086,1.2561,0.6339,0.1607,6.4464
380,1,0.1123,0.0083,1.3132,0.5047,0.1776,6.1682
381,1,0.1208,0.0034,1.2420,0.6058,0.2500,6.4615
382,1,0.1329,0.0061,1.2714,0.5289,0.1653,6.4545
383,1,0.0886,0.0054,1.2860,0.5543,0.1413,6.5543
384,1,0.1099,0.0085,1.3123,0.6047,0.1550,6.2403
385,1,0.1034,0.0068,1.2718,0.5789,0.2421,6.4211
386,1,0.1207,0.0084,1.2719,0.7207,0.1712,6.7658
387,1,0.1076,0.0053,1.2906,0.6220,0.1575,6.2992
388,1,0.1015,0.0081,1.2833,0.6383,0.1277,6.5957
389,1,0.0950,0.0063,1.3179,0.5304,0.1217,6.5043
390,1,0.1184,0.0073,1.3202,0.7083,0.1875,6.6458
391,1,0.1405,0.0069,1.2587,0.6406,0.2578,6.2969
392,1,0.0974,0.0061,1.2947,0.6286,0.2000,6.8667
393,1,0.1021,0.0065,1.2615,0.6333,0.1417,6.0333
394,1,0.1188,0.0076,1.2680,0.7766,0.1915,6.5000
395,1,0.1268,0.0081,1.2966,0.4956,0.1947,6.4513
396,1,0.1237,0.0079,1.2741,0.6748,0.2195,6.1951
397,1,0.1122,0.0082,1.2658,0.6466,0.1724,6.4569
398,1,0.1150,0.0051,1.2958,0.6893,0.1845,6.7184
399,1,0.1512,0.0051,1.3252,0.5812,0.1368,6.2393
400,1,0.0987,0.0057,1.2552,0.5588,0.1863,6.3529
401,1,0.1318,0.0093,1.2800,0.5826,0.2261,6.3913
402,1,0.1108,0.0053,1.2767,0.5470,0.1282,6.1709
403,1,0.1064,0.0064,1.2866,0.5612,0.1429,6.3265
404,1,0.1304,0.0053,1.2916,0.7394,0.2042,6.2394
